location.latitude,location.longitude,name,power,type,stalls,country
50.583368,3.089888,"Tesla Supercharger Lille, France - Lesquin",150,SITE_TYPE_SUPERCHARGER,16,France
46.57734067,4.89953818,"Tesla Supercharger Tournus, France",250,SITE_TYPE_SUPERCHARGER,20,France
51.671308,5.60267,"Tesla Supercharger Uden, Netherlands",250,SITE_TYPE_SUPERCHARGER,24,Netherlands
51.094988,4.011808,"Tesla Supercharger Lokeren, Belgium",250,SITE_TYPE_SUPERCHARGER,14,Belgium
45.16724,1.483119,"Tesla Supercharger Brive-la-Gaillarde, France",250,SITE_TYPE_SUPERCHARGER,20,France
46.378453,2.586523,"Tesla Supercharger Montluçon, France - Aire des Vérités",250,SITE_TYPE_SUPERCHARGER,8,France
49.16398,-0.424802,"Tesla Supercharger Caen, France",150,SITE_TYPE_SUPERCHARGER,12,France
43.389217,-5.803677,"Tesla Supercharger Lugones, Spain",250,SITE_TYPE_SUPERCHARGER,12,Spain
49.359721,0.817754,"Tesla Supercharger Bourg-Achard, France",250,SITE_TYPE_SUPERCHARGER,20,France
45.46753199,8.46223164,"Tesla Supercharger Vicolungo, Italy",250,SITE_TYPE_SUPERCHARGER,12,Italy
47.2717489,5.04348475,"Tesla Supercharger Dijon, France",250,SITE_TYPE_SUPERCHARGER,16,France
43.89258,8.039121,"Tesla Supercharger Imperia, Italy",150,SITE_TYPE_SUPERCHARGER,10,Italy
49.787019,3.335626,"Tesla Supercharger Aire d'Urvillers, France",150,SITE_TYPE_SUPERCHARGER,8,France
45.655436,6.365683,"Tesla Supercharger Albertville, France",250,SITE_TYPE_SUPERCHARGER,16,France
47.865293,11.790743,"Tesla Supercharger Weyarn, Germany",138,SITE_TYPE_SUPERCHARGER,18,Germany
45.412326,10.970212,"Tesla Supercharger Verona, Italy",150,SITE_TYPE_SUPERCHARGER,10,Italy
53.6305,-2.692696,"Tesla Supercharger Charnock Richard, UK",150,SITE_TYPE_SUPERCHARGER,12,UK
47.817073,12.120631,"Tesla Supercharger Rosenheim, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
47.728372,11.361923,"Tesla Supercharger Sindelsdorf, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
46.682284,14.678985,"Tesla Supercharger Völkermarkt, Austria",250,SITE_TYPE_SUPERCHARGER,16,Austria
52.404698,-4.064559,"Tesla Supercharger Aberystwyth, UK",250,SITE_TYPE_SUPERCHARGER,6,UK
51.687636,-0.223596,"Tesla Supercharger South Mimms, UK ",150,SITE_TYPE_SUPERCHARGER,12,UK
53.507374,11.096817,"Tesla Supercharger Wittenburg, Germany ",250,SITE_TYPE_SUPERCHARGER,10,Germany
47.923424,10.208663,"Tesla Supercharger Woringen, Germany",250,SITE_TYPE_SUPERCHARGER,16,Germany
45.524971,5.976568,"Tesla Supercharger Aire de l'Abis, France",250,SITE_TYPE_SUPERCHARGER,12,France
47.01739,8.30147,"Tesla Supercharger Kriens, Switzerland",250,SITE_TYPE_SUPERCHARGER,12,Switzerland
59.112402,10.108727,"Tesla Supercharger Ringdalskogen, Norway",150,SITE_TYPE_SUPERCHARGER,20,Norway
50.588724,4.308133,"Tesla Supercharger Nivelles-Sud, Belgium",150,SITE_TYPE_SUPERCHARGER,12,Belgium
53.314145,-1.281904,"Tesla Supercharger Woodall, UK - Southbound",125,SITE_TYPE_SUPERCHARGER,8,UK
51.911281,7.398489,"Tesla Supercharger Nottuln, Germany",250,SITE_TYPE_SUPERCHARGER,16,Germany
48.638215,6.184349,"Tesla Supercharger Nancy, France",150,SITE_TYPE_SUPERCHARGER,8,France
41.38932,2.13371,"Tesla Supercharger Barcelona - L'Illa Diagonal, Spain",150,SITE_TYPE_SUPERCHARGER,4,Spain
52.983494,9.925521,"Tesla Supercharger Soltau, Germany - Soltau-Ost",250,SITE_TYPE_SUPERCHARGER,20,Germany
47.559299,14.252501,"Tesla Supercharger Liezen, Austria",130,SITE_TYPE_SUPERCHARGER,8,Austria
45.511492,9.634821,"Tesla Supercharger Adda Nord, Italy",250,SITE_TYPE_SUPERCHARGER,4,Italy
57.814044,13.418968,"Tesla Supercharger Ulricehamn, Sweden",150,SITE_TYPE_SUPERCHARGER,20,Sweden
46.136916,6.1243,"Tesla Supercharger Archamps, France",150,SITE_TYPE_SUPERCHARGER,8,France
48.754865,2.373034,"Tesla Supercharger Thiais, France",150,SITE_TYPE_SUPERCHARGER,12,France
59.770844,10.262148,"Tesla Supercharger Lier North, Norway",150,SITE_TYPE_SUPERCHARGER,8,Norway
47.50058121,6.81234321,"Tesla Supercharger Montbéliard, France",250,SITE_TYPE_SUPERCHARGER,16,France
44.973333,7.730113,"Tesla Supercharger Moncalieri, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
52.650769,5.038917,"Tesla Supercharger Hoorn, Netherlands ",150,SITE_TYPE_SUPERCHARGER,12,Netherlands
50.486021,4.797235,"Tesla Supercharger Namur, Belgium",250,SITE_TYPE_SUPERCHARGER,15,Belgium
46.144299,5.281959,"Tesla Supercharger Bourg-en-Bresse, France",250,SITE_TYPE_SUPERCHARGER,6,France
51.710912,8.713781,"Tesla Supercharger Paderborn, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
47.310734,7.934924,"Tesla Supercharger Oftringen, Switzerland",125,SITE_TYPE_SUPERCHARGER,14,Switzerland
51.531452,-3.140042,"Tesla Supercharger Cardiff, UK",250,SITE_TYPE_SUPERCHARGER,8,UK
56.931838,12.518811,"Tesla Supercharger Falkenberg, Sweden",150,SITE_TYPE_SUPERCHARGER,18,Sweden
43.60245,3.9199,"Tesla Supercharger Montpellier, France",250,SITE_TYPE_SUPERCHARGER,16,France
50.889864,11.871398,"Tesla Supercharger Hermsdorf, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
55.786395,9.667926,"Tesla Supercharger Hedensted, Denmark",150,SITE_TYPE_SUPERCHARGER,16,Denmark
49.388964,1.059818,"Tesla Supercharger Rouen, France",250,SITE_TYPE_SUPERCHARGER,12,France
51.477207,-2.706308,"Tesla Supercharger Gordano, UK",130,SITE_TYPE_SUPERCHARGER,8,UK
50.381223,8.089445,"Tesla Supercharger Limburg an der Lahn, Germany",250,SITE_TYPE_SUPERCHARGER,20,Germany
55.465674,8.444136,"Tesla Supercharger Esbjerg, Denmark",250,SITE_TYPE_SUPERCHARGER,12,Denmark
53.617858,10.239421,"Tesla Supercharger Braak, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
56.178072,10.138728,"Tesla Supercharger Århus, Denmark - Service",125,SITE_TYPE_SUPERCHARGER,6,Denmark
47.32476,0.713971,"Tesla Supercharger Chambray-Lès-Tours, France",250,SITE_TYPE_SUPERCHARGER,24,France
47.199916,8.794421,"Tesla Supercharger Pfäffikon, Switzerland - Seedamm-Center",250,SITE_TYPE_SUPERCHARGER,15,Switzerland
48.057341,4.959604,"Tesla Supercharger Aire de Châteauvillain, France - Val Marnay",150,SITE_TYPE_SUPERCHARGER,6,France
49.414,0.266378,"Tesla Supercharger Honfleur, France",250,SITE_TYPE_SUPERCHARGER,12,France
54.442048,-1.671239,"Tesla Supercharger Scotch Corner, UK",130,SITE_TYPE_SUPERCHARGER,8,UK
51.286224,0.545783,"Tesla Supercharger Maidstone, UK",130,SITE_TYPE_SUPERCHARGER,6,UK
50.897865,6.682388,"Tesla Supercharger Kerpen, Germany",250,SITE_TYPE_SUPERCHARGER,19,Germany
48.218806,10.127389,"Tesla Supercharger Illertissen, Germany",250,SITE_TYPE_SUPERCHARGER,14,Germany
47.50207906,3.98431294,"Tesla Supercharger Avallon, France",250,SITE_TYPE_SUPERCHARGER,20,France
41.663959,0.605371,"Tesla Supercharger Lleida, Spain",150,SITE_TYPE_SUPERCHARGER,6,Spain
54.453346,-2.605861,"Tesla Supercharger Penrith, UK - Tebay Southbound",150,SITE_TYPE_SUPERCHARGER,8,UK
51.871747,0.193401,"Tesla Supercharger Birchanger Green, UK",130,SITE_TYPE_SUPERCHARGER,4,UK
50.133641,8.561038,"Tesla Supercharger Eschborn, Germany",250,SITE_TYPE_SUPERCHARGER,16,Germany
58.722096,11.34403,"Tesla Supercharger Tanum, Sweden",150,SITE_TYPE_SUPERCHARGER,24,Sweden
43.647598,1.369754,"Tesla Supercharger Blagnac, France",250,SITE_TYPE_SUPERCHARGER,16,France
46.368124,13.072864,"Tesla Supercharger Valli di Carnia, Italy",250,SITE_TYPE_SUPERCHARGER,8,Italy
47.948869,1.86831,"Tesla Supercharger Orléans, France",150,SITE_TYPE_SUPERCHARGER,8,France
52.962947,-2.196584,"Tesla Supercharger Trentham, UK",250,SITE_TYPE_SUPERCHARGER,8,UK
53.104375,9.98157,"Tesla Supercharger Bispingen, Germany",150,SITE_TYPE_SUPERCHARGER,10,Germany
47.720985,8.646664,"Tesla Supercharger Schaffhausen, Switzerland",125,SITE_TYPE_SUPERCHARGER,8,Switzerland
48.999791,12.148416,"Tesla Supercharger Regensburg - Ostenviertel, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
49.648038,5.818803,"Tesla Supercharger Arlon, Belgium",250,SITE_TYPE_SUPERCHARGER,30,Belgium
51.412775,0.13431,"Tesla Supercharger London, UK - Sidcup",250,SITE_TYPE_SUPERCHARGER,15,UK
48.64562825,11.52065258,"Tesla Supercharger Reichertshofen, Germany",250,SITE_TYPE_SUPERCHARGER,20,Germany
45.34834,9.282206,"Tesla Supercharger Melegnano, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
47.049393,2.344843,"Tesla Supercharger Bourges, France",150,SITE_TYPE_SUPERCHARGER,10,France
50.928282,1.811838,"Tesla Supercharger Eurotunnel, France -  Flexiplus Lounge",125,SITE_TYPE_SUPERCHARGER,2,France
53.369722,9.802193,"Tesla Supercharger Rade, Germany",150,SITE_TYPE_SUPERCHARGER,8,Germany
41.086278,1.037806,"Tesla Supercharger Cambrils, Spain",150,SITE_TYPE_SUPERCHARGER,4,Spain
48.653054,7.732155,"Tesla Supercharger Vendenheim, France",250,SITE_TYPE_SUPERCHARGER,16,France
48.518278,11.562305,"Tesla Supercharger Pfaffenhofen, Germany",250,SITE_TYPE_SUPERCHARGER,24,Germany
51.510052,-2.156305,"Tesla Supercharger Leigh Delamere, UK - Westbound",250,SITE_TYPE_SUPERCHARGER,16,UK
49.725188,13.326051,"Tesla Supercharger Plzeň, Czech Republic",150,SITE_TYPE_SUPERCHARGER,6,Czech Republic
44.989375,14.897686,"Tesla Supercharger Senj, Croatia",90,SITE_TYPE_SUPERCHARGER,4,Croatia
40.90688731,9.5159936,"Tesla Supercharger Olbia, Italy",250,SITE_TYPE_SUPERCHARGER,4,Italy
43.510637,5.456429,"Tesla Supercharger Aix-en-Provence, France",130,SITE_TYPE_SUPERCHARGER,4,France
50.816508,5.725651,"Tesla Supercharger Maastricht, Netherlands",250,SITE_TYPE_SUPERCHARGER,24,Netherlands
52.072834,-1.34179,"Tesla Supercharger Banbury, UK",250,SITE_TYPE_SUPERCHARGER,12,UK
57.189774,-3.836206,"Tesla Supercharger Aviemore, UK",150,SITE_TYPE_SUPERCHARGER,4,UK
48.584598,2.604114,"Tesla Supercharger Cesson, France",250,SITE_TYPE_SUPERCHARGER,12,France
45.877092,6.0879,"Tesla Supercharger Annecy, France - Seynod",250,SITE_TYPE_SUPERCHARGER,16,France
50.796377,6.780047,"Tesla Supercharger Erftstadt, Germany",250,SITE_TYPE_SUPERCHARGER,28,Germany
52.644065,-2.054251,"Tesla Supercharger Hilton Park, UK -  Southbound",150,SITE_TYPE_SUPERCHARGER,12,UK
50.552856,8.532806,"Tesla Supercharger Wetzlar, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
55.386511,10.426722,"Tesla Supercharger Odense, Denmark",250,SITE_TYPE_SUPERCHARGER,16,Denmark
43.04618022,12.40782217,"Tesla Supercharger Perugia South, Italy",250,SITE_TYPE_SUPERCHARGER,8,Italy
41.815887,12.400806,"Tesla Supercharger Roma, Italy - South West",250,SITE_TYPE_SUPERCHARGER,8,Italy
41.544226,13.511958,"Tesla Supercharger Ceprano, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
51.577507,4.729773,"Tesla Supercharger Breda, Netherlands",150,SITE_TYPE_SUPERCHARGER,16,Netherlands
47.835942,13.059135,"Tesla Supercharger Salzburg, Austria - Nord",250,SITE_TYPE_SUPERCHARGER,10,Austria
50.409809,2.974534,"Tesla Supercharger Noyelles-Godault, France",250,SITE_TYPE_SUPERCHARGER,24,France
45.039342,9.753848,"Tesla Supercharger Piacenza, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
47.534597,12.092972,"Tesla Supercharger Langkampfen, Austria",250,SITE_TYPE_SUPERCHARGER,27,Austria
50.48272,7.750214,"Tesla Supercharger Mogendorf, Germany",150,SITE_TYPE_SUPERCHARGER,12,Germany
51.470106,6.05724,"Tesla Supercharger Horst, Netherlands",250,SITE_TYPE_SUPERCHARGER,16,Netherlands
44.036408,1.378367,"Tesla Supercharger Montauban, France",250,SITE_TYPE_SUPERCHARGER,16,France
47.782002,7.388186,"Tesla Supercharger Mulhouse, France",150,SITE_TYPE_SUPERCHARGER,8,France
47.451845,8.704485,"Tesla Supercharger Kemptthal, Switzerland",250,SITE_TYPE_SUPERCHARGER,12,Switzerland
53.713158,-1.744952,"Tesla Supercharger Hartshead Moor, UK - Westbound",150,SITE_TYPE_SUPERCHARGER,6,UK
48.754456,2.351036,"Tesla Supercharger Rungis, France",150,SITE_TYPE_SUPERCHARGER,6,France
53.586759,10.097986,"Tesla Supercharger Hamburg - Service Center, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
52.644021,-2.058587,"Tesla Supercharger Hilton Park, UK - Northbound",130,SITE_TYPE_SUPERCHARGER,12,UK
48.4305668,-4.46994802,"Tesla Supercharger Brest, France - Gouesnou",250,SITE_TYPE_SUPERCHARGER,16,France
41.134294,1.1683,"Tesla Supercharger Tarragona, Spain",150,SITE_TYPE_SUPERCHARGER,2,Spain
51.510919,-0.460473,"Tesla Supercharger London, UK - West Drayton",130,SITE_TYPE_SUPERCHARGER,5,UK
58.157003,7.105605,"Tesla Supercharger Lyngdal Handelspark, Norway",250,SITE_TYPE_SUPERCHARGER,36,Norway
42.372085,12.471703,"Tesla Supercharger Magliano Sabina, Italy",250,SITE_TYPE_SUPERCHARGER,12,Italy
52.480891,13.355927,"Tesla Supercharger Berlin, Germany - EUREF-Campus",250,SITE_TYPE_SUPERCHARGER,12,Germany
59.561444,7.356644,"Tesla Supercharger Hovden, Norway",150,SITE_TYPE_SUPERCHARGER,12,Norway
53.417573,-2.639644,"Tesla Supercharger Burtonwood, UK",150,SITE_TYPE_SUPERCHARGER,8,UK
48.393734,11.070536,"Tesla Supercharger Dasing, Germany - Bauernmarkt",250,SITE_TYPE_SUPERCHARGER,16,Germany
41.313192,-2.002201,"Tesla Supercharger Ariza, Spain",150,SITE_TYPE_SUPERCHARGER,6,Spain
45.152424,0.789938,"Tesla Supercharger Périgueux, France",250,SITE_TYPE_SUPERCHARGER,8,France
45.954138,8.950789,"Tesla Supercharger Melide, Switzerland",125,SITE_TYPE_SUPERCHARGER,10,Switzerland
43.436817,11.77957,"Tesla Supercharger Arezzo, Italy",250,SITE_TYPE_SUPERCHARGER,24,Italy
51.495032,7.284958,"Tesla Supercharger Bochum, Germany - Ruhr Park",250,SITE_TYPE_SUPERCHARGER,16,Germany
39.006495,-3.38313,"Tesla Supercharger Manzanares, Spain",150,SITE_TYPE_SUPERCHARGER,4,Spain
56.657423,12.907257,"Tesla Supercharger Halmstad, Sweden",250,SITE_TYPE_SUPERCHARGER,28,Sweden
51.370996,9.633307,"Tesla Supercharger Lutterberg, Germany",150,SITE_TYPE_SUPERCHARGER,16,Germany
47.017422,4.837768,"Tesla Supercharger Beaune, France",150,SITE_TYPE_SUPERCHARGER,12,France
48.999043,8.428747,"Tesla Supercharger Karlsruhe, Germany",250,SITE_TYPE_SUPERCHARGER,11,Germany
44.04068,12.589221,"Tesla Supercharger Rimini, Italy",250,SITE_TYPE_SUPERCHARGER,8,Italy
45.884158,13.344976,"Tesla Supercharger Palmanova, Italy",250,SITE_TYPE_SUPERCHARGER,16,Italy
46.515263,8.67061,"Tesla Supercharger Quinto, Switzerland",125,SITE_TYPE_SUPERCHARGER,10,Switzerland
42.31227892,-3.70417222,"Tesla Supercharger Burgos, Spain",150,SITE_TYPE_SUPERCHARGER,6,Spain
50.88771,4.453051,"Tesla Supercharger Machelen, Belgium",70,SITE_TYPE_SUPERCHARGER,8,Belgium
48.811357,11.479807,"Tesla Supercharger Kösching, Germany",250,SITE_TYPE_SUPERCHARGER,20,Germany
49.252931,3.975959,"Tesla Supercharger Reims, France - Tinqueux",250,SITE_TYPE_SUPERCHARGER,16,France
48.784078,2.220945,"Tesla Supercharger Vélizy 2, France",250,SITE_TYPE_SUPERCHARGER,16,France
49.769609,10.470231,"Tesla Supercharger Geiselwind, Germany",250,SITE_TYPE_SUPERCHARGER,34,Germany
49.1384,8.56233,"Tesla Supercharger Bruchsal, Germany",138,SITE_TYPE_SUPERCHARGER,14,Germany
45.265676,5.876448,"Tesla Supercharger Grenoble, France",150,SITE_TYPE_SUPERCHARGER,8,France
42.783861,-1.630794,"Tesla Supercharger Pamplona,  Spain",250,SITE_TYPE_SUPERCHARGER,8,Spain
48.691108,6.127792,"Tesla Supercharger Laxou, France",250,SITE_TYPE_SUPERCHARGER,28,France
48.959185,10.173699,"Tesla Supercharger Ellwangen, Germany - Hotel Montana",250,SITE_TYPE_SUPERCHARGER,8,Germany
50.643921,10.684882,"Tesla Supercharger Zella-Mehlis, Germany",250,SITE_TYPE_SUPERCHARGER,20,Germany
51.151101,4.43271,"Tesla Supercharger Edegem, Belgium",150,SITE_TYPE_SUPERCHARGER,18,Belgium
56.783309,9.690891,"Tesla Supercharger Haverslev, Denmark",150,SITE_TYPE_SUPERCHARGER,16,Denmark
51.535351,-3.577637,"Tesla Supercharger Sarn Park, UK",130,SITE_TYPE_SUPERCHARGER,8,UK
48.785079,9.017713,"Tesla Supercharger Leonberg, Germany",150,SITE_TYPE_SUPERCHARGER,20,Germany
51.067118,-1.299816,"Tesla Supercharger Winchester, UK ",250,SITE_TYPE_SUPERCHARGER,12,UK
47.175529,7.598728,"Tesla Supercharger Kriegstetten, Switzerland",150,SITE_TYPE_SUPERCHARGER,12,Switzerland
43.666466,7.127355,"Tesla Supercharger Cagnes-sur-Mer, France",125,SITE_TYPE_SUPERCHARGER,4,France
46.912724,8.622726,"Tesla Supercharger Flüelen, Switzerland",150,SITE_TYPE_SUPERCHARGER,6,Switzerland
49.640815,6.270681,"Tesla Supercharger Mënsbech, Luxembourg",130,SITE_TYPE_SUPERCHARGER,4,Luxembourg
46.625,7.037428,"Tesla Supercharger Bulle, Switzerland",250,SITE_TYPE_SUPERCHARGER,8,Switzerland
45.389513,8.129848,"Tesla Supercharger Cavaglià, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
44.79377597,-0.53318556,"Tesla Supercharger Bègles, France",250,SITE_TYPE_SUPERCHARGER,16,France
40.93319791,14.35738213,"Tesla Supercharger Afragola, Italy - Napoli North",250,SITE_TYPE_SUPERCHARGER,8,Italy
42.399179,14.163982,"Tesla Supercharger San Giovanni Teatino, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
44.918787,11.594051,"Tesla Supercharger Occhiobello, Italy",150,SITE_TYPE_SUPERCHARGER,8,Italy
48.221159,14.406744,"Tesla Supercharger Asten, Austria",250,SITE_TYPE_SUPERCHARGER,12,Austria
47.626586,7.599531,"Tesla Supercharger Eimeldingen, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
47.003965,9.525809,"Tesla Supercharger Maienfeld, Switzerland",125,SITE_TYPE_SUPERCHARGER,14,Switzerland
45.561386,9.055946,"Tesla Supercharger Arese, Italy",250,SITE_TYPE_SUPERCHARGER,20,Italy
53.10912,-1.31227,"Tesla Supercharger Mansfield, UK - East Midlands Designer Outlet",250,SITE_TYPE_SUPERCHARGER,8,UK
43.802874,13.015345,"Tesla Supercharger Fano, Italy",130,SITE_TYPE_SUPERCHARGER,6,Italy
